Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,29,0
01:00 - 02:00,0,71
02:00 - 03:00,0,16
03:00 - 04:00,18,0
04:00 - 05:00,0,29
05:00 - 06:00,1,0
06:00 - 07:00,0,1
07:00 - 08:00,0,20
08:00 - 09:00,0,36
09:00 - 10:00,0,22
10:00 - 11:00,43,0
11:00 - 12:00,241,0
12:00 - 13:00,338,0
13:00 - 14:00,384,0
14:00 - 15:00,384,0
15:00 - 16:00,419,0
16:00 - 17:00,468,0
17:00 - 18:00,567,0
18:00 - 19:00,539,0
19:00 - 20:00,527,0
20:00 - 21:00,459,0
21:00 - 22:00,332,0
22:00 - 23:00,191,0
23:00 - 00:00,0,19
