Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,555,0
01:00 - 02:00,594,0
02:00 - 03:00,548,0
03:00 - 04:00,555,0
04:00 - 05:00,560,0
05:00 - 06:00,579,0
06:00 - 07:00,607,0
07:00 - 08:00,553,0
08:00 - 09:00,359,0
09:00 - 10:00,430,0
10:00 - 11:00,479,0
11:00 - 12:00,559,0
12:00 - 13:00,552,0
13:00 - 14:00,572,0
14:00 - 15:00,582,0
15:00 - 16:00,582,0
16:00 - 17:00,636,0
17:00 - 18:00,650,0
18:00 - 19:00,543,0
19:00 - 20:00,423,0
20:00 - 21:00,319,0
21:00 - 22:00,294,0
22:00 - 23:00,280,0
23:00 - 00:00,289,0
