Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,121
01:00 - 02:00,0,254
02:00 - 03:00,0,236
03:00 - 04:00,0,285
04:00 - 05:00,0,315
05:00 - 06:00,0,331
06:00 - 07:00,0,299
07:00 - 08:00,0,103
08:00 - 09:00,0,8
09:00 - 10:00,28,0
10:00 - 11:00,0,136
11:00 - 12:00,0,166
12:00 - 13:00,0,226
13:00 - 14:00,0,326
14:00 - 15:00,0,362
15:00 - 16:00,0,416
16:00 - 17:00,0,456
17:00 - 18:00,0,538
18:00 - 19:00,0,251
19:00 - 20:00,0,235
20:00 - 21:00,0,209
21:00 - 22:00,0,109
22:00 - 23:00,0,52
23:00 - 00:00,0,126
