Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,10,0
01:00 - 02:00,0,85
02:00 - 03:00,0,53
03:00 - 04:00,0,71
04:00 - 05:00,0,102
05:00 - 06:00,0,86
06:00 - 07:00,0,82
07:00 - 08:00,0,283
08:00 - 09:00,0,378
09:00 - 10:00,0,475
10:00 - 11:00,0,431
11:00 - 12:00,0,260
12:00 - 13:00,0,96
13:00 - 14:00,181,0
14:00 - 15:00,142,0
15:00 - 16:00,92,0
16:00 - 17:00,35,0
17:00 - 18:00,2,0
18:00 - 19:00,40,0
19:00 - 20:00,0,127
20:00 - 21:00,0,220
21:00 - 22:00,0,270
22:00 - 23:00,0,379
23:00 - 00:00,0,425
