Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,101
01:00 - 02:00,0,135
02:00 - 03:00,0,181
03:00 - 04:00,0,147
04:00 - 05:00,0,128
05:00 - 06:00,0,133
06:00 - 07:00,0,115
07:00 - 08:00,149,0
08:00 - 09:00,298,0
09:00 - 10:00,411,0
10:00 - 11:00,446,0
11:00 - 12:00,217,0
12:00 - 13:00,289,0
13:00 - 14:00,224,0
14:00 - 15:00,233,0
15:00 - 16:00,134,0
16:00 - 17:00,132,0
17:00 - 18:00,128,0
18:00 - 19:00,100,0
19:00 - 20:00,201,0
20:00 - 21:00,139,0
21:00 - 22:00,148,0
22:00 - 23:00,172,0
23:00 - 00:00,254,0
