Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,118
01:00 - 02:00,0,200
02:00 - 03:00,0,136
03:00 - 04:00,0,165
04:00 - 05:00,0,202
05:00 - 06:00,0,168
06:00 - 07:00,0,151
07:00 - 08:00,0,75
08:00 - 09:00,0,175
09:00 - 10:00,0,211
10:00 - 11:00,0,261
11:00 - 12:00,0,358
12:00 - 13:00,0,494
13:00 - 14:00,0,603
14:00 - 15:00,0,588
15:00 - 16:00,0,516
16:00 - 17:00,0,451
17:00 - 18:00,0,480
18:00 - 19:00,0,342
19:00 - 20:00,0,272
20:00 - 21:00,0,290
21:00 - 22:00,0,249
22:00 - 23:00,0,189
23:00 - 00:00,0,180
