Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,116
01:00 - 02:00,0,102
02:00 - 03:00,0,67
03:00 - 04:00,0,91
04:00 - 05:00,0,67
05:00 - 06:00,0,77
06:00 - 07:00,0,65
07:00 - 08:00,0,79
08:00 - 09:00,0,37
09:00 - 10:00,0,22
10:00 - 11:00,56,0
11:00 - 12:00,162,0
12:00 - 13:00,237,0
13:00 - 14:00,254,0
14:00 - 15:00,209,0
15:00 - 16:00,181,0
16:00 - 17:00,78,0
17:00 - 18:00,23,0
18:00 - 19:00,139,0
19:00 - 20:00,231,0
20:00 - 21:00,200,0
21:00 - 22:00,206,0
22:00 - 23:00,67,0
23:00 - 00:00,0,95
