Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,398,0
01:00 - 02:00,438,0
02:00 - 03:00,404,0
03:00 - 04:00,391,0
04:00 - 05:00,403,0
05:00 - 06:00,371,0
06:00 - 07:00,383,0
07:00 - 08:00,379,0
08:00 - 09:00,278,0
09:00 - 10:00,129,0
10:00 - 11:00,0,26
11:00 - 12:00,0,42
12:00 - 13:00,0,76
13:00 - 14:00,0,84
14:00 - 15:00,0,112
15:00 - 16:00,26,0
16:00 - 17:00,319,0
17:00 - 18:00,506,0
18:00 - 19:00,427,0
19:00 - 20:00,466,0
20:00 - 21:00,497,0
21:00 - 22:00,531,0
22:00 - 23:00,437,0
23:00 - 00:00,410,0
