Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,319,0
01:00 - 02:00,314,0
02:00 - 03:00,328,0
03:00 - 04:00,312,0
04:00 - 05:00,286,0
05:00 - 06:00,219,0
06:00 - 07:00,204,0
07:00 - 08:00,183,0
08:00 - 09:00,312,0
09:00 - 10:00,400,0
10:00 - 11:00,392,0
11:00 - 12:00,406,0
12:00 - 13:00,488,0
13:00 - 14:00,530,0
14:00 - 15:00,550,0
15:00 - 16:00,595,0
16:00 - 17:00,681,0
17:00 - 18:00,693,0
18:00 - 19:00,761,0
19:00 - 20:00,681,0
20:00 - 21:00,457,0
21:00 - 22:00,356,0
22:00 - 23:00,407,0
23:00 - 00:00,395,0
