Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,111
01:00 - 02:00,0,188
02:00 - 03:00,0,176
03:00 - 04:00,0,175
04:00 - 05:00,0,176
05:00 - 06:00,0,155
06:00 - 07:00,0,176
07:00 - 08:00,0,191
08:00 - 09:00,0,109
09:00 - 10:00,46,0
10:00 - 11:00,220,0
11:00 - 12:00,156,0
12:00 - 13:00,160,0
13:00 - 14:00,135,0
14:00 - 15:00,127,0
15:00 - 16:00,60,0
16:00 - 17:00,0,13
17:00 - 18:00,0,127
18:00 - 19:00,30,0
19:00 - 20:00,65,0
20:00 - 21:00,0,13
21:00 - 22:00,0,147
22:00 - 23:00,0,20
23:00 - 00:00,0,48
