Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,365,0
01:00 - 02:00,343,0
02:00 - 03:00,337,0
03:00 - 04:00,316,0
04:00 - 05:00,405,0
05:00 - 06:00,428,0
06:00 - 07:00,423,0
07:00 - 08:00,258,0
08:00 - 09:00,267,0
09:00 - 10:00,288,0
10:00 - 11:00,230,0
11:00 - 12:00,161,0
12:00 - 13:00,100,0
13:00 - 14:00,185,0
14:00 - 15:00,271,0
15:00 - 16:00,266,0
16:00 - 17:00,201,0
17:00 - 18:00,275,0
18:00 - 19:00,437,0
19:00 - 20:00,464,0
20:00 - 21:00,306,0
21:00 - 22:00,259,0
22:00 - 23:00,247,0
23:00 - 00:00,327,0
