Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,201,0
01:00 - 02:00,101,0
02:00 - 03:00,58,0
03:00 - 04:00,57,0
04:00 - 05:00,45,0
05:00 - 06:00,47,0
06:00 - 07:00,30,0
07:00 - 08:00,68,0
08:00 - 09:00,198,0
09:00 - 10:00,225,0
10:00 - 11:00,207,0
11:00 - 12:00,328,0
12:00 - 13:00,412,0
13:00 - 14:00,443,0
14:00 - 15:00,570,0
15:00 - 16:00,547,0
16:00 - 17:00,553,0
17:00 - 18:00,549,0
18:00 - 19:00,519,0
19:00 - 20:00,525,0
20:00 - 21:00,564,0
21:00 - 22:00,439,0
22:00 - 23:00,426,0
23:00 - 00:00,327,0
