Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,29
01:00 - 02:00,0,81
02:00 - 03:00,0,113
03:00 - 04:00,0,157
04:00 - 05:00,0,175
05:00 - 06:00,0,160
06:00 - 07:00,0,195
07:00 - 08:00,33,0
08:00 - 09:00,14,0
09:00 - 10:00,0,16
10:00 - 11:00,0,72
11:00 - 12:00,0,97
12:00 - 13:00,0,118
13:00 - 14:00,0,167
14:00 - 15:00,0,261
15:00 - 16:00,0,248
16:00 - 17:00,0,223
17:00 - 18:00,0,186
18:00 - 19:00,0,110
19:00 - 20:00,0,82
20:00 - 21:00,18,0
21:00 - 22:00,9,0
22:00 - 23:00,101,0
23:00 - 00:00,188,0
