Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,61
01:00 - 02:00,0,95
02:00 - 03:00,0,76
03:00 - 04:00,0,65
04:00 - 05:00,0,54
05:00 - 06:00,0,24
06:00 - 07:00,0,2
07:00 - 08:00,30,0
08:00 - 09:00,0,12
09:00 - 10:00,11,0
10:00 - 11:00,69,0
11:00 - 12:00,0,24
12:00 - 13:00,0,106
13:00 - 14:00,0,109
14:00 - 15:00,0,75
15:00 - 16:00,0,42
16:00 - 17:00,37,0
17:00 - 18:00,164,0
18:00 - 19:00,259,0
19:00 - 20:00,259,0
20:00 - 21:00,201,0
21:00 - 22:00,163,0
22:00 - 23:00,127,0
23:00 - 00:00,0,54
