Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,235,0
01:00 - 02:00,300,0
02:00 - 03:00,391,0
03:00 - 04:00,413,0
04:00 - 05:00,419,0
05:00 - 06:00,388,0
06:00 - 07:00,471,0
07:00 - 08:00,424,0
08:00 - 09:00,367,0
09:00 - 10:00,491,0
10:00 - 11:00,548,0
11:00 - 12:00,628,0
12:00 - 13:00,677,0
13:00 - 14:00,631,0
14:00 - 15:00,648,0
15:00 - 16:00,664,0
16:00 - 17:00,688,0
17:00 - 18:00,650,0
18:00 - 19:00,500,0
19:00 - 20:00,453,0
20:00 - 21:00,364,0
21:00 - 22:00,337,0
22:00 - 23:00,279,0
23:00 - 00:00,293,0
