Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,557
01:00 - 02:00,0,496
02:00 - 03:00,0,566
03:00 - 04:00,0,584
04:00 - 05:00,0,598
05:00 - 06:00,0,570
06:00 - 07:00,0,600
07:00 - 08:00,0,448
08:00 - 09:00,0,174
09:00 - 10:00,0,171
10:00 - 11:00,0,234
11:00 - 12:00,0,232
12:00 - 13:00,0,153
13:00 - 14:00,0,126
14:00 - 15:00,0,120
15:00 - 16:00,0,150
16:00 - 17:00,0,218
17:00 - 18:00,0,443
18:00 - 19:00,0,508
19:00 - 20:00,0,175
20:00 - 21:00,0,99
21:00 - 22:00,0,43
22:00 - 23:00,1,0
23:00 - 00:00,12,0
