Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,323,0
00:15 - 00:30,302,0
00:30 - 00:45,270,0
00:45 - 01:00,320,0
01:00 - 01:15,306,0
01:15 - 01:30,306,0
01:30 - 01:45,294,0
01:45 - 02:00,269,0
02:00 - 02:15,321,0
02:15 - 02:30,311,0
02:30 - 02:45,317,0
02:45 - 03:00,256,0
03:00 - 03:15,324,0
03:15 - 03:30,297,0
03:30 - 03:45,298,0
03:45 - 04:00,241,0
04:00 - 04:15,284,0
04:15 - 04:30,269,0
04:30 - 04:45,291,0
04:45 - 05:00,254,0
05:00 - 05:15,302,0
05:15 - 05:30,302,0
05:30 - 05:45,312,0
05:45 - 06:00,249,0
06:00 - 06:15,285,0
06:15 - 06:30,284,0
06:30 - 06:45,326,0
06:45 - 07:00,273,0
07:00 - 07:15,247,0
07:15 - 07:30,207,0
07:30 - 07:45,237,0
07:45 - 08:00,217,0
08:00 - 08:15,296,0
08:15 - 08:30,321,0
08:30 - 08:45,283,0
08:45 - 09:00,230,0
09:00 - 09:15,345,0
09:15 - 09:30,356,0
09:30 - 09:45,381,0
09:45 - 10:00,339,0
10:00 - 10:15,344,0
10:15 - 10:30,315,0
10:30 - 10:45,303,0
10:45 - 11:00,276,0
11:00 - 11:15,351,0
11:15 - 11:30,338,0
11:30 - 11:45,346,0
11:45 - 12:00,309,0
12:00 - 12:15,304,0
12:15 - 12:30,302,0
12:30 - 12:45,316,0
12:45 - 13:00,327,0
13:00 - 13:15,407,0
13:15 - 13:30,430,0
13:30 - 13:45,422,0
13:45 - 14:00,388,0
14:00 - 14:15,413,0
14:15 - 14:30,433,0
14:30 - 14:45,430,0
14:45 - 15:00,292,0
15:00 - 15:15,298,0
15:15 - 15:30,355,0
15:30 - 15:45,341,0
15:45 - 16:00,343,0
16:00 - 16:15,374,0
16:15 - 16:30,350,0
16:30 - 16:45,402,0
16:45 - 17:00,419,0
17:00 - 17:15,440,0
17:15 - 17:30,429,0
17:30 - 17:45,452,0
17:45 - 18:00,472,0
18:00 - 18:15,392,0
18:15 - 18:30,401,0
18:30 - 18:45,412,0
18:45 - 19:00,402,0
19:00 - 19:15,349,0
19:15 - 19:30,338,0
19:30 - 19:45,382,0
19:45 - 20:00,311,0
20:00 - 20:15,189,0
20:15 - 20:30,212,0
20:30 - 20:45,253,0
20:45 - 21:00,273,0
21:00 - 21:15,222,0
21:15 - 21:30,223,0
21:30 - 21:45,219,0
21:45 - 22:00,194,0
22:00 - 22:15,270,0
22:15 - 22:30,268,0
22:30 - 22:45,222,0
22:45 - 23:00,196,0
23:00 - 23:15,312,0
23:15 - 23:30,265,0
23:30 - 23:45,271,0
23:45 - 00:00,333,0
