Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,651,0
01:00 - 02:00,589,0
02:00 - 03:00,594,0
03:00 - 04:00,558,0
04:00 - 05:00,545,0
05:00 - 06:00,574,0
06:00 - 07:00,578,0
07:00 - 08:00,450,0
08:00 - 09:00,460,0
09:00 - 10:00,479,0
10:00 - 11:00,390,0
11:00 - 12:00,383,0
12:00 - 13:00,334,0
13:00 - 14:00,470,0
14:00 - 15:00,459,0
15:00 - 16:00,408,0
16:00 - 17:00,487,0
17:00 - 18:00,595,0
18:00 - 19:00,580,0
19:00 - 20:00,607,0
20:00 - 21:00,551,0
21:00 - 22:00,564,0
22:00 - 23:00,547,0
23:00 - 00:00,558,0
