Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,387,0
01:00 - 02:00,313,0
02:00 - 03:00,313,0
03:00 - 04:00,255,0
04:00 - 05:00,275,0
05:00 - 06:00,298,0
06:00 - 07:00,390,0
07:00 - 08:00,379,0
08:00 - 09:00,439,0
09:00 - 10:00,637,0
10:00 - 11:00,686,0
11:00 - 12:00,688,0
12:00 - 13:00,700,0
13:00 - 14:00,726,0
14:00 - 15:00,679,0
15:00 - 16:00,604,0
16:00 - 17:00,537,0
17:00 - 18:00,593,0
18:00 - 19:00,603,0
19:00 - 20:00,476,0
20:00 - 21:00,232,0
21:00 - 22:00,247,0
22:00 - 23:00,250,0
23:00 - 00:00,270,0
