Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,322,0
01:00 - 02:00,396,0
02:00 - 03:00,383,0
03:00 - 04:00,376,0
04:00 - 05:00,365,0
05:00 - 06:00,403,0
06:00 - 07:00,402,0
07:00 - 08:00,462,0
08:00 - 09:00,442,0
09:00 - 10:00,570,0
10:00 - 11:00,623,0
11:00 - 12:00,558,0
12:00 - 13:00,676,0
13:00 - 14:00,678,0
14:00 - 15:00,660,0
15:00 - 16:00,698,0
16:00 - 17:00,674,0
17:00 - 18:00,667,0
18:00 - 19:00,532,0
19:00 - 20:00,432,0
20:00 - 21:00,391,0
21:00 - 22:00,466,0
22:00 - 23:00,443,0
23:00 - 00:00,360,0
