Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,106,0
01:00 - 02:00,133,0
02:00 - 03:00,315,0
03:00 - 04:00,359,0
04:00 - 05:00,339,0
05:00 - 06:00,299,0
06:00 - 07:00,328,0
07:00 - 08:00,316,0
08:00 - 09:00,169,0
09:00 - 10:00,106,0
10:00 - 11:00,236,0
11:00 - 12:00,231,0
12:00 - 13:00,180,0
13:00 - 14:00,150,0
14:00 - 15:00,113,0
15:00 - 16:00,132,0
16:00 - 17:00,63,0
17:00 - 18:00,127,0
18:00 - 19:00,160,0
19:00 - 20:00,24,0
20:00 - 21:00,22,0
21:00 - 22:00,0,22
22:00 - 23:00,0,40
23:00 - 00:00,0,53
