Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,187,0
00:15 - 00:30,169,0
00:30 - 00:45,139,0
00:45 - 01:00,136,0
01:00 - 01:15,145,0
01:15 - 01:30,115,0
01:30 - 01:45,171,0
01:45 - 02:00,175,0
02:00 - 02:15,367,0
02:15 - 02:30,330,0
02:30 - 02:45,339,0
02:45 - 03:00,323,0
03:00 - 03:15,359,0
03:15 - 03:30,388,0
03:30 - 03:45,385,0
03:45 - 04:00,401,0
04:00 - 04:15,403,0
04:15 - 04:30,370,0
04:30 - 04:45,404,0
04:45 - 05:00,349,0
05:00 - 05:15,371,0
05:15 - 05:30,357,0
05:30 - 05:45,350,0
05:45 - 06:00,308,0
06:00 - 06:15,417,0
06:15 - 06:30,429,0
06:30 - 06:45,430,0
06:45 - 07:00,395,0
07:00 - 07:15,367,0
07:15 - 07:30,349,0
07:30 - 07:45,395,0
07:45 - 08:00,330,0
08:00 - 08:15,348,0
08:15 - 08:30,373,0
08:30 - 08:45,338,0
08:45 - 09:00,244,0
09:00 - 09:15,291,0
09:15 - 09:30,247,0
09:30 - 09:45,225,0
09:45 - 10:00,261,0
10:00 - 10:15,332,0
10:15 - 10:30,344,0
10:30 - 10:45,276,0
10:45 - 11:00,347,0
11:00 - 11:15,362,0
11:15 - 11:30,345,0
11:30 - 11:45,353,0
11:45 - 12:00,334,0
12:00 - 12:15,386,0
12:15 - 12:30,357,0
12:30 - 12:45,351,0
12:45 - 13:00,358,0
13:00 - 13:15,343,0
13:15 - 13:30,305,0
13:30 - 13:45,338,0
13:45 - 14:00,284,0
14:00 - 14:15,313,0
14:15 - 14:30,245,0
14:30 - 14:45,224,0
14:45 - 15:00,297,0
15:00 - 15:15,314,0
15:15 - 15:30,272,0
15:30 - 15:45,304,0
15:45 - 16:00,257,0
16:00 - 16:15,284,0
16:15 - 16:30,213,0
16:30 - 16:45,252,0
16:45 - 17:00,282,0
17:00 - 17:15,296,0
17:15 - 17:30,244,0
17:30 - 17:45,256,0
17:45 - 18:00,265,0
18:00 - 18:15,253,0
18:15 - 18:30,251,0
18:30 - 18:45,289,0
18:45 - 19:00,267,0
19:00 - 19:15,203,0
19:15 - 19:30,197,0
19:30 - 19:45,192,0
19:45 - 20:00,219,0
20:00 - 20:15,247,0
20:15 - 20:30,203,0
20:30 - 20:45,176,0
20:45 - 21:00,182,0
21:00 - 21:15,109,0
21:15 - 21:30,187,0
21:30 - 21:45,145,0
21:45 - 22:00,128,0
22:00 - 22:15,144,0
22:15 - 22:30,87,0
22:30 - 22:45,141,0
22:45 - 23:00,104,0
23:00 - 23:15,120,0
23:15 - 23:30,110,0
23:30 - 23:45,54,0
23:45 - 00:00,76,0
