Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,77,0
01:00 - 02:00,109,0
02:00 - 03:00,146,0
03:00 - 04:00,163,0
04:00 - 05:00,199,0
05:00 - 06:00,198,0
06:00 - 07:00,273,0
07:00 - 08:00,364,0
08:00 - 09:00,254,0
09:00 - 10:00,185,0
10:00 - 11:00,205,0
11:00 - 12:00,123,0
12:00 - 13:00,127,0
13:00 - 14:00,183,0
14:00 - 15:00,143,0
15:00 - 16:00,130,0
16:00 - 17:00,196,0
17:00 - 18:00,284,0
18:00 - 19:00,311,0
19:00 - 20:00,381,0
20:00 - 21:00,290,0
21:00 - 22:00,269,0
22:00 - 23:00,357,0
23:00 - 00:00,292,0
