Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,125
01:00 - 02:00,0,157
02:00 - 03:00,0,177
03:00 - 04:00,0,159
04:00 - 05:00,0,163
05:00 - 06:00,0,164
06:00 - 07:00,0,177
07:00 - 08:00,0,96
08:00 - 09:00,0,13
09:00 - 10:00,0,12
10:00 - 11:00,33,0
11:00 - 12:00,3,0
12:00 - 13:00,0,10
13:00 - 14:00,0,34
14:00 - 15:00,0,58
15:00 - 16:00,0,80
16:00 - 17:00,0,193
17:00 - 18:00,0,216
18:00 - 19:00,0,200
19:00 - 20:00,0,155
20:00 - 21:00,0,91
21:00 - 22:00,0,179
22:00 - 23:00,0,118
23:00 - 00:00,0,120
