Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,195
01:00 - 02:00,0,376
02:00 - 03:00,0,547
03:00 - 04:00,0,585
04:00 - 05:00,0,595
05:00 - 06:00,0,581
06:00 - 07:00,0,475
07:00 - 08:00,0,42
08:00 - 09:00,0,144
09:00 - 10:00,0,145
10:00 - 11:00,0,127
11:00 - 12:00,0,105
12:00 - 13:00,68,0
13:00 - 14:00,0,24
14:00 - 15:00,172,0
15:00 - 16:00,262,0
16:00 - 17:00,141,0
17:00 - 18:00,45,0
18:00 - 19:00,137,0
19:00 - 20:00,185,0
20:00 - 21:00,93,0
21:00 - 22:00,0,34
22:00 - 23:00,64,0
23:00 - 00:00,0,187
