Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,92
01:00 - 02:00,0,136
02:00 - 03:00,0,181
03:00 - 04:00,0,213
04:00 - 05:00,0,272
05:00 - 06:00,0,263
06:00 - 07:00,0,300
07:00 - 08:00,0,192
08:00 - 09:00,0,117
09:00 - 10:00,0,231
10:00 - 11:00,0,255
11:00 - 12:00,0,319
12:00 - 13:00,0,304
13:00 - 14:00,0,449
14:00 - 15:00,0,336
15:00 - 16:00,0,292
16:00 - 17:00,0,244
17:00 - 18:00,0,254
18:00 - 19:00,0,308
19:00 - 20:00,0,226
20:00 - 21:00,0,171
21:00 - 22:00,0,119
22:00 - 23:00,8,0
23:00 - 00:00,0,7
