Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,294,0
01:00 - 02:00,339,0
02:00 - 03:00,378,0
03:00 - 04:00,432,0
04:00 - 05:00,436,0
05:00 - 06:00,449,0
06:00 - 07:00,440,0
07:00 - 08:00,417,0
08:00 - 09:00,458,0
09:00 - 10:00,510,0
10:00 - 11:00,451,0
11:00 - 12:00,315,0
12:00 - 13:00,290,0
13:00 - 14:00,363,0
14:00 - 15:00,360,0
15:00 - 16:00,391,0
16:00 - 17:00,410,0
17:00 - 18:00,450,0
18:00 - 19:00,436,0
19:00 - 20:00,340,0
20:00 - 21:00,333,0
21:00 - 22:00,350,0
22:00 - 23:00,302,0
23:00 - 00:00,240,0
