Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,380,0
01:00 - 02:00,350,0
02:00 - 03:00,351,0
03:00 - 04:00,355,0
04:00 - 05:00,326,0
05:00 - 06:00,325,0
06:00 - 07:00,329,0
07:00 - 08:00,116,0
08:00 - 09:00,58,0
09:00 - 10:00,0,42
10:00 - 11:00,0,82
11:00 - 12:00,0,102
12:00 - 13:00,24,0
13:00 - 14:00,99,0
14:00 - 15:00,177,0
15:00 - 16:00,237,0
16:00 - 17:00,359,0
17:00 - 18:00,443,0
18:00 - 19:00,439,0
19:00 - 20:00,535,0
20:00 - 21:00,536,0
21:00 - 22:00,502,0
22:00 - 23:00,380,0
23:00 - 00:00,366,0
