Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,181,0
01:00 - 02:00,320,0
02:00 - 03:00,300,0
03:00 - 04:00,283,0
04:00 - 05:00,271,0
05:00 - 06:00,275,0
06:00 - 07:00,314,0
07:00 - 08:00,267,0
08:00 - 09:00,262,0
09:00 - 10:00,215,0
10:00 - 11:00,224,0
11:00 - 12:00,257,0
12:00 - 13:00,422,0
13:00 - 14:00,427,0
14:00 - 15:00,462,0
15:00 - 16:00,452,0
16:00 - 17:00,415,0
17:00 - 18:00,425,0
18:00 - 19:00,489,0
19:00 - 20:00,445,0
20:00 - 21:00,336,0
21:00 - 22:00,338,0
22:00 - 23:00,268,0
23:00 - 00:00,273,0
