Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,52
01:00 - 02:00,0,40
02:00 - 03:00,0,53
03:00 - 04:00,0,55
04:00 - 05:00,0,101
05:00 - 06:00,0,88
06:00 - 07:00,0,33
07:00 - 08:00,0,4
08:00 - 09:00,72,0
09:00 - 10:00,189,0
10:00 - 11:00,288,0
11:00 - 12:00,226,0
12:00 - 13:00,223,0
13:00 - 14:00,242,0
14:00 - 15:00,324,0
15:00 - 16:00,421,0
16:00 - 17:00,334,0
17:00 - 18:00,475,0
18:00 - 19:00,337,0
19:00 - 20:00,179,0
20:00 - 21:00,140,0
21:00 - 22:00,77,0
22:00 - 23:00,146,0
23:00 - 00:00,77,0
