Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,438,0
01:00 - 02:00,508,0
02:00 - 03:00,519,0
03:00 - 04:00,485,0
04:00 - 05:00,505,0
05:00 - 06:00,498,0
06:00 - 07:00,453,0
07:00 - 08:00,612,0
08:00 - 09:00,702,0
09:00 - 10:00,773,0
10:00 - 11:00,693,0
11:00 - 12:00,548,0
12:00 - 13:00,589,0
13:00 - 14:00,614,0
14:00 - 15:00,733,0
15:00 - 16:00,818,0
16:00 - 17:00,947,0
17:00 - 18:00,864,0
18:00 - 19:00,820,0
19:00 - 20:00,812,0
20:00 - 21:00,553,0
21:00 - 22:00,431,0
22:00 - 23:00,415,0
23:00 - 00:00,244,0
