Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,273,0
01:00 - 02:00,271,0
02:00 - 03:00,303,0
03:00 - 04:00,322,0
04:00 - 05:00,344,0
05:00 - 06:00,351,0
06:00 - 07:00,328,0
07:00 - 08:00,310,0
08:00 - 09:00,283,0
09:00 - 10:00,134,0
10:00 - 11:00,120,0
11:00 - 12:00,30,0
12:00 - 13:00,0,43
13:00 - 14:00,2,0
14:00 - 15:00,96,0
15:00 - 16:00,174,0
16:00 - 17:00,284,0
17:00 - 18:00,300,0
18:00 - 19:00,266,0
19:00 - 20:00,373,0
20:00 - 21:00,348,0
21:00 - 22:00,396,0
22:00 - 23:00,364,0
23:00 - 00:00,248,0
