Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,24
01:00 - 02:00,0,150
02:00 - 03:00,0,198
03:00 - 04:00,0,228
04:00 - 05:00,0,267
05:00 - 06:00,0,290
06:00 - 07:00,0,283
07:00 - 08:00,0,243
08:00 - 09:00,0,134
09:00 - 10:00,18,0
10:00 - 11:00,0,18
11:00 - 12:00,0,164
12:00 - 13:00,0,208
13:00 - 14:00,0,291
14:00 - 15:00,0,377
15:00 - 16:00,0,509
16:00 - 17:00,0,619
17:00 - 18:00,0,551
18:00 - 19:00,0,520
19:00 - 20:00,0,413
20:00 - 21:00,0,211
21:00 - 22:00,0,230
22:00 - 23:00,0,257
23:00 - 00:00,0,309
