Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,43,0
00:15 - 00:30,0,9
00:30 - 00:45,14,0
00:45 - 01:00,0,9
01:00 - 01:15,0,0
01:15 - 01:30,0,0
01:30 - 01:45,0,33
01:45 - 02:00,0,30
02:00 - 02:15,0,24
02:15 - 02:30,0,53
02:30 - 02:45,0,74
02:45 - 03:00,0,30
03:00 - 03:15,0,72
03:15 - 03:30,0,63
03:30 - 03:45,0,65
03:45 - 04:00,0,54
04:00 - 04:15,0,52
04:15 - 04:30,0,19
04:30 - 04:45,0,25
04:45 - 05:00,0,65
05:00 - 05:15,13,0
05:15 - 05:30,0,18
05:30 - 05:45,23,0
05:45 - 06:00,0,22
06:00 - 06:15,8,0
06:15 - 06:30,35,0
06:30 - 06:45,44,0
06:45 - 07:00,30,0
07:00 - 07:15,81,0
07:15 - 07:30,64,0
07:30 - 07:45,60,0
07:45 - 08:00,115,0
08:00 - 08:15,161,0
08:15 - 08:30,172,0
08:30 - 08:45,237,0
08:45 - 09:00,197,0
09:00 - 09:15,304,0
09:15 - 09:30,303,0
09:30 - 09:45,252,0
09:45 - 10:00,234,0
10:00 - 10:15,315,0
10:15 - 10:30,329,0
10:30 - 10:45,377,0
10:45 - 11:00,305,0
11:00 - 11:15,397,0
11:15 - 11:30,391,0
11:30 - 11:45,406,0
11:45 - 12:00,391,0
12:00 - 12:15,372,0
12:15 - 12:30,418,0
12:30 - 12:45,361,0
12:45 - 13:00,425,0
13:00 - 13:15,377,0
13:15 - 13:30,381,0
13:30 - 13:45,384,0
13:45 - 14:00,408,0
14:00 - 14:15,446,0
14:15 - 14:30,394,0
14:30 - 14:45,452,0
14:45 - 15:00,409,0
15:00 - 15:15,366,0
15:15 - 15:30,324,0
15:30 - 15:45,377,0
15:45 - 16:00,356,0
16:00 - 16:15,337,0
16:15 - 16:30,332,0
16:30 - 16:45,298,0
16:45 - 17:00,299,0
17:00 - 17:15,284,0
17:15 - 17:30,226,0
17:30 - 17:45,304,0
17:45 - 18:00,277,0
18:00 - 18:15,207,0
18:15 - 18:30,225,0
18:30 - 18:45,202,0
18:45 - 19:00,138,0
19:00 - 19:15,0,49
19:15 - 19:30,0,31
19:30 - 19:45,0,8
19:45 - 20:00,8,0
20:00 - 20:15,0,0
20:15 - 20:30,0,12
20:30 - 20:45,0,27
20:45 - 21:00,4,0
21:00 - 21:15,18,0
21:15 - 21:30,0,10
21:30 - 21:45,0,14
21:45 - 22:00,0,0
22:00 - 22:15,0,0
22:15 - 22:30,4,0
22:30 - 22:45,8,0
22:45 - 23:00,0,19
23:00 - 23:15,31,0
23:15 - 23:30,0,24
23:30 - 23:45,0,32
23:45 - 00:00,0,94
