Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,355
01:00 - 02:00,0,317
02:00 - 03:00,0,315
03:00 - 04:00,0,304
04:00 - 05:00,0,272
05:00 - 06:00,0,254
06:00 - 07:00,0,294
07:00 - 08:00,0,213
08:00 - 09:00,0,209
09:00 - 10:00,0,202
10:00 - 11:00,0,219
11:00 - 12:00,0,295
12:00 - 13:00,0,345
13:00 - 14:00,0,399
14:00 - 15:00,0,397
15:00 - 16:00,0,421
16:00 - 17:00,0,403
17:00 - 18:00,0,345
18:00 - 19:00,0,369
19:00 - 20:00,0,412
20:00 - 21:00,0,360
21:00 - 22:00,0,374
22:00 - 23:00,0,372
23:00 - 00:00,0,445
