Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,87,0
01:00 - 02:00,104,0
02:00 - 03:00,196,0
03:00 - 04:00,239,0
04:00 - 05:00,235,0
05:00 - 06:00,253,0
06:00 - 07:00,239,0
07:00 - 08:00,305,0
08:00 - 09:00,284,0
09:00 - 10:00,231,0
10:00 - 11:00,171,0
11:00 - 12:00,167,0
12:00 - 13:00,273,0
13:00 - 14:00,330,0
14:00 - 15:00,302,0
15:00 - 16:00,332,0
16:00 - 17:00,426,0
17:00 - 18:00,570,0
18:00 - 19:00,558,0
19:00 - 20:00,325,0
20:00 - 21:00,202,0
21:00 - 22:00,164,0
22:00 - 23:00,140,0
23:00 - 00:00,174,0
