Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,124,0
00:15 - 00:30,171,0
00:30 - 00:45,131,0
00:45 - 01:00,139,0
01:00 - 01:15,78,0
01:15 - 01:30,94,0
01:30 - 01:45,99,0
01:45 - 02:00,50,0
02:00 - 02:15,119,0
02:15 - 02:30,87,0
02:30 - 02:45,86,0
02:45 - 03:00,62,0
03:00 - 03:15,166,0
03:15 - 03:30,76,0
03:30 - 03:45,113,0
03:45 - 04:00,118,0
04:00 - 04:15,126,0
04:15 - 04:30,147,0
04:30 - 04:45,160,0
04:45 - 05:00,192,0
05:00 - 05:15,263,0
05:15 - 05:30,241,0
05:30 - 05:45,258,0
05:45 - 06:00,168,0
06:00 - 06:15,282,0
06:15 - 06:30,233,0
06:30 - 06:45,228,0
06:45 - 07:00,174,0
07:00 - 07:15,90,0
07:15 - 07:30,81,0
07:30 - 07:45,130,0
07:45 - 08:00,95,0
08:00 - 08:15,195,0
08:15 - 08:30,182,0
08:30 - 08:45,121,0
08:45 - 09:00,131,0
09:00 - 09:15,215,0
09:15 - 09:30,143,0
09:30 - 09:45,200,0
09:45 - 10:00,126,0
10:00 - 10:15,201,0
10:15 - 10:30,210,0
10:30 - 10:45,174,0
10:45 - 11:00,220,0
11:00 - 11:15,305,0
11:15 - 11:30,268,0
11:30 - 11:45,249,0
11:45 - 12:00,288,0
12:00 - 12:15,236,0
12:15 - 12:30,223,0
12:30 - 12:45,234,0
12:45 - 13:00,272,0
13:00 - 13:15,226,0
13:15 - 13:30,261,0
13:30 - 13:45,260,0
13:45 - 14:00,283,0
14:00 - 14:15,283,0
14:15 - 14:30,322,0
14:30 - 14:45,328,0
14:45 - 15:00,347,0
15:00 - 15:15,382,0
15:15 - 15:30,372,0
15:30 - 15:45,398,0
15:45 - 16:00,311,0
16:00 - 16:15,342,0
16:15 - 16:30,361,0
16:30 - 16:45,352,0
16:45 - 17:00,295,0
17:00 - 17:15,300,0
17:15 - 17:30,362,0
17:30 - 17:45,375,0
17:45 - 18:00,346,0
18:00 - 18:15,329,0
18:15 - 18:30,347,0
18:30 - 18:45,354,0
18:45 - 19:00,296,0
19:00 - 19:15,238,0
19:15 - 19:30,276,0
19:30 - 19:45,285,0
19:45 - 20:00,272,0
20:00 - 20:15,118,0
20:15 - 20:30,117,0
20:30 - 20:45,119,0
20:45 - 21:00,112,0
21:00 - 21:15,139,0
21:15 - 21:30,134,0
21:30 - 21:45,134,0
21:45 - 22:00,98,0
22:00 - 22:15,93,0
22:15 - 22:30,76,0
22:30 - 22:45,76,0
22:45 - 23:00,81,0
23:00 - 23:15,131,0
23:15 - 23:30,92,0
23:30 - 23:45,87,0
23:45 - 00:00,123,0
