Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,306,0
01:00 - 02:00,310,0
02:00 - 03:00,219,0
03:00 - 04:00,188,0
04:00 - 05:00,254,0
05:00 - 06:00,263,0
06:00 - 07:00,299,0
07:00 - 08:00,197,0
08:00 - 09:00,187,0
09:00 - 10:00,275,0
10:00 - 11:00,266,0
11:00 - 12:00,316,0
12:00 - 13:00,245,0
13:00 - 14:00,303,0
14:00 - 15:00,392,0
15:00 - 16:00,518,0
16:00 - 17:00,523,0
17:00 - 18:00,439,0
18:00 - 19:00,577,0
19:00 - 20:00,564,0
20:00 - 21:00,288,0
21:00 - 22:00,241,0
22:00 - 23:00,301,0
23:00 - 00:00,352,0
