Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,0,38
00:15 - 00:30,0,29
00:30 - 00:45,0,31
00:45 - 01:00,0,25
01:00 - 01:15,0,42
01:15 - 01:30,0,45
01:30 - 01:45,0,38
01:45 - 02:00,0,37
02:00 - 02:15,0,33
02:15 - 02:30,0,38
02:30 - 02:45,0,33
02:45 - 03:00,0,45
03:00 - 03:15,0,47
03:15 - 03:30,0,50
03:30 - 03:45,0,38
03:45 - 04:00,0,35
04:00 - 04:15,0,43
04:15 - 04:30,0,52
04:30 - 04:45,0,41
04:45 - 05:00,0,41
05:00 - 05:15,0,41
05:15 - 05:30,0,36
05:30 - 05:45,0,33
05:45 - 06:00,0,36
06:00 - 06:15,0,37
06:15 - 06:30,0,37
06:30 - 06:45,0,40
06:45 - 07:00,0,34
07:00 - 07:15,0,27
07:15 - 07:30,0,26
07:30 - 07:45,0,22
07:45 - 08:00,0,19
08:00 - 08:15,0,24
08:15 - 08:30,0,20
08:30 - 08:45,0,16
08:45 - 09:00,0,17
09:00 - 09:15,0,37
09:15 - 09:30,0,31
09:30 - 09:45,0,32
09:45 - 10:00,0,23
10:00 - 10:15,0,24
10:15 - 10:30,0,24
10:30 - 10:45,0,29
10:45 - 11:00,0,25
11:00 - 11:15,0,45
11:15 - 11:30,0,39
11:30 - 11:45,0,43
11:45 - 12:00,0,33
12:00 - 12:15,0,32
12:15 - 12:30,0,37
12:30 - 12:45,0,42
12:45 - 13:00,0,33
13:00 - 13:15,0,42
13:15 - 13:30,0,42
13:30 - 13:45,0,45
13:45 - 14:00,0,35
14:00 - 14:15,0,45
14:15 - 14:30,0,45
14:30 - 14:45,0,38
14:45 - 15:00,0,45
15:00 - 15:15,0,40
15:15 - 15:30,0,52
15:30 - 15:45,0,45
15:45 - 16:00,0,50
16:00 - 16:15,0,46
16:15 - 16:30,0,55
16:30 - 16:45,0,53
16:45 - 17:00,0,58
17:00 - 17:15,0,60
17:15 - 17:30,0,66
17:30 - 17:45,0,71
17:45 - 18:00,0,66
18:00 - 18:15,0,58
18:15 - 18:30,0,58
18:30 - 18:45,0,58
18:45 - 19:00,0,61
19:00 - 19:15,0,45
19:15 - 19:30,0,49
19:30 - 19:45,0,46
19:45 - 20:00,0,44
20:00 - 20:15,0,38
20:15 - 20:30,0,31
20:30 - 20:45,0,33
20:45 - 21:00,0,27
21:00 - 21:15,0,23
21:15 - 21:30,0,27
21:30 - 21:45,0,28
21:45 - 22:00,0,28
22:00 - 22:15,0,29
22:15 - 22:30,0,28
22:30 - 22:45,0,26
22:45 - 23:00,0,29
23:00 - 23:15,0,38
23:15 - 23:30,0,40
23:30 - 23:45,0,40
23:45 - 00:00,0,39
