Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,279,0
01:00 - 02:00,197,0
02:00 - 03:00,180,0
03:00 - 04:00,233,0
04:00 - 05:00,280,0
05:00 - 06:00,265,0
06:00 - 07:00,290,0
07:00 - 08:00,303,0
08:00 - 09:00,373,0
09:00 - 10:00,437,0
10:00 - 11:00,476,0
11:00 - 12:00,516,0
12:00 - 13:00,542,0
13:00 - 14:00,550,0
14:00 - 15:00,534,0
15:00 - 16:00,499,0
16:00 - 17:00,500,0
17:00 - 18:00,458,0
18:00 - 19:00,456,0
19:00 - 20:00,317,0
20:00 - 21:00,310,0
21:00 - 22:00,301,0
22:00 - 23:00,244,0
23:00 - 00:00,245,0
