Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,332,0
01:00 - 02:00,348,0
02:00 - 03:00,340,0
03:00 - 04:00,350,0
04:00 - 05:00,353,0
05:00 - 06:00,303,0
06:00 - 07:00,306,0
07:00 - 08:00,234,0
08:00 - 09:00,129,0
09:00 - 10:00,142,0
10:00 - 11:00,79,0
11:00 - 12:00,157,0
12:00 - 13:00,124,0
13:00 - 14:00,178,0
14:00 - 15:00,204,0
15:00 - 16:00,248,0
16:00 - 17:00,321,0
17:00 - 18:00,424,0
18:00 - 19:00,459,0
19:00 - 20:00,430,0
20:00 - 21:00,406,0
21:00 - 22:00,381,0
22:00 - 23:00,391,0
23:00 - 00:00,417,0
