Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,132
01:00 - 02:00,0,131
02:00 - 03:00,0,168
03:00 - 04:00,0,173
04:00 - 05:00,0,158
05:00 - 06:00,0,124
06:00 - 07:00,0,103
07:00 - 08:00,0,106
08:00 - 09:00,0,14
09:00 - 10:00,0,56
10:00 - 11:00,0,126
11:00 - 12:00,0,230
12:00 - 13:00,0,281
13:00 - 14:00,0,293
14:00 - 15:00,0,296
15:00 - 16:00,0,310
16:00 - 17:00,0,325
17:00 - 18:00,0,293
18:00 - 19:00,0,274
19:00 - 20:00,0,204
20:00 - 21:00,0,175
21:00 - 22:00,0,124
22:00 - 23:00,0,94
23:00 - 00:00,0,147
