Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,238
01:00 - 02:00,0,471
02:00 - 03:00,0,497
03:00 - 04:00,0,543
04:00 - 05:00,0,514
05:00 - 06:00,0,497
06:00 - 07:00,0,543
07:00 - 08:00,0,420
08:00 - 09:00,0,211
09:00 - 10:00,0,0
10:00 - 11:00,0,0
11:00 - 12:00,0,0
12:00 - 13:00,0,0
13:00 - 14:00,0,0
14:00 - 15:00,0,0
15:00 - 16:00,0,0
16:00 - 17:00,0,0
17:00 - 18:00,0,202
18:00 - 19:00,0,438
19:00 - 20:00,0,431
20:00 - 21:00,0,326
21:00 - 22:00,0,227
22:00 - 23:00,0,279
23:00 - 00:00,0,483
