Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,165,0
01:00 - 02:00,252,0
02:00 - 03:00,252,0
03:00 - 04:00,283,0
04:00 - 05:00,263,0
05:00 - 06:00,263,0
06:00 - 07:00,165,0
07:00 - 08:00,117,0
08:00 - 09:00,117,0
09:00 - 10:00,51,0
10:00 - 11:00,212,0
11:00 - 12:00,326,0
12:00 - 13:00,316,0
13:00 - 14:00,290,0
14:00 - 15:00,258,0
15:00 - 16:00,242,0
16:00 - 17:00,350,0
17:00 - 18:00,526,0
18:00 - 19:00,605,0
19:00 - 20:00,633,0
20:00 - 21:00,670,0
21:00 - 22:00,571,0
22:00 - 23:00,408,0
23:00 - 00:00,298,0
