Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,405,0
01:00 - 02:00,485,0
02:00 - 03:00,494,0
03:00 - 04:00,524,0
04:00 - 05:00,482,0
05:00 - 06:00,492,0
06:00 - 07:00,431,0
07:00 - 08:00,285,0
08:00 - 09:00,180,0
09:00 - 10:00,50,0
10:00 - 11:00,18,0
11:00 - 12:00,0,39
12:00 - 13:00,0,98
13:00 - 14:00,0,73
14:00 - 15:00,0,39
15:00 - 16:00,0,25
16:00 - 17:00,51,0
17:00 - 18:00,255,0
18:00 - 19:00,510,0
19:00 - 20:00,689,0
20:00 - 21:00,814,0
21:00 - 22:00,729,0
22:00 - 23:00,673,0
23:00 - 00:00,612,0
