Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,485
01:00 - 02:00,0,411
02:00 - 03:00,0,427
03:00 - 04:00,0,431
04:00 - 05:00,0,387
05:00 - 06:00,0,320
06:00 - 07:00,0,261
07:00 - 08:00,0,424
08:00 - 09:00,0,391
09:00 - 10:00,0,307
10:00 - 11:00,0,206
11:00 - 12:00,0,51
12:00 - 13:00,19,0
13:00 - 14:00,181,0
14:00 - 15:00,198,0
15:00 - 16:00,147,0
16:00 - 17:00,96,0
17:00 - 18:00,126,0
18:00 - 19:00,197,0
19:00 - 20:00,152,0
20:00 - 21:00,76,0
21:00 - 22:00,0,24
22:00 - 23:00,0,58
23:00 - 00:00,0,317
