Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,86,0
01:00 - 02:00,114,0
02:00 - 03:00,127,0
03:00 - 04:00,176,0
04:00 - 05:00,160,0
05:00 - 06:00,128,0
06:00 - 07:00,146,0
07:00 - 08:00,433,0
08:00 - 09:00,471,0
09:00 - 10:00,491,0
10:00 - 11:00,415,0
11:00 - 12:00,378,0
12:00 - 13:00,272,0
13:00 - 14:00,0,5
14:00 - 15:00,0,85
15:00 - 16:00,0,107
16:00 - 17:00,0,111
17:00 - 18:00,0,181
18:00 - 19:00,76,0
19:00 - 20:00,188,0
20:00 - 21:00,97,0
21:00 - 22:00,115,0
22:00 - 23:00,63,0
23:00 - 00:00,30,0
