Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,496,0
01:00 - 02:00,594,0
02:00 - 03:00,564,0
03:00 - 04:00,593,0
04:00 - 05:00,614,0
05:00 - 06:00,654,0
06:00 - 07:00,580,0
07:00 - 08:00,470,0
08:00 - 09:00,343,0
09:00 - 10:00,189,0
10:00 - 11:00,98,0
11:00 - 12:00,65,0
12:00 - 13:00,92,0
13:00 - 14:00,91,0
14:00 - 15:00,139,0
15:00 - 16:00,308,0
16:00 - 17:00,394,0
17:00 - 18:00,540,0
18:00 - 19:00,671,0
19:00 - 20:00,588,0
20:00 - 21:00,523,0
21:00 - 22:00,531,0
22:00 - 23:00,459,0
23:00 - 00:00,479,0
