Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,114
01:00 - 02:00,0,5
02:00 - 03:00,0,60
03:00 - 04:00,0,14
04:00 - 05:00,67,0
05:00 - 06:00,149,0
06:00 - 07:00,127,0
07:00 - 08:00,89,0
08:00 - 09:00,0,21
09:00 - 10:00,0,149
10:00 - 11:00,0,322
11:00 - 12:00,0,279
12:00 - 13:00,0,223
13:00 - 14:00,0,74
14:00 - 15:00,55,0
15:00 - 16:00,294,0
16:00 - 17:00,306,0
17:00 - 18:00,457,0
18:00 - 19:00,391,0
19:00 - 20:00,53,0
20:00 - 21:00,0,166
21:00 - 22:00,0,170
22:00 - 23:00,0,128
23:00 - 00:00,0,117
