Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,445,0
01:00 - 02:00,453,0
02:00 - 03:00,466,0
03:00 - 04:00,417,0
04:00 - 05:00,373,0
05:00 - 06:00,391,0
06:00 - 07:00,312,0
07:00 - 08:00,245,0
08:00 - 09:00,161,0
09:00 - 10:00,198,0
10:00 - 11:00,245,0
11:00 - 12:00,262,0
12:00 - 13:00,232,0
13:00 - 14:00,255,0
14:00 - 15:00,297,0
15:00 - 16:00,479,0
16:00 - 17:00,573,0
17:00 - 18:00,572,0
18:00 - 19:00,525,0
19:00 - 20:00,421,0
20:00 - 21:00,477,0
21:00 - 22:00,434,0
22:00 - 23:00,522,0
23:00 - 00:00,459,0
