Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,53
01:00 - 02:00,0,5
02:00 - 03:00,0,9
03:00 - 04:00,0,72
04:00 - 05:00,0,101
05:00 - 06:00,0,18
06:00 - 07:00,0,36
07:00 - 08:00,0,4
08:00 - 09:00,51,0
09:00 - 10:00,153,0
10:00 - 11:00,160,0
11:00 - 12:00,142,0
12:00 - 13:00,124,0
13:00 - 14:00,197,0
14:00 - 15:00,225,0
15:00 - 16:00,245,0
16:00 - 17:00,193,0
17:00 - 18:00,269,0
18:00 - 19:00,129,0
19:00 - 20:00,47,0
20:00 - 21:00,29,0
21:00 - 22:00,0,28
22:00 - 23:00,0,1
23:00 - 00:00,0,85
