Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,40,0
00:15 - 00:30,0,49
00:30 - 00:45,0,64
00:45 - 01:00,0,44
01:00 - 01:15,0,16
01:15 - 01:30,0,55
01:30 - 01:45,0,33
01:45 - 02:00,0,10
02:00 - 02:15,0,23
02:15 - 02:30,0,5
02:30 - 02:45,0,44
02:45 - 03:00,0,52
03:00 - 03:15,0,55
03:15 - 03:30,0,55
03:30 - 03:45,110,0
03:45 - 04:00,128,0
04:00 - 04:15,96,0
04:15 - 04:30,99,0
04:30 - 04:45,0,70
04:45 - 05:00,0,88
05:00 - 05:15,0,45
05:15 - 05:30,0,51
05:30 - 05:45,125,0
05:45 - 06:00,85,0
06:00 - 06:15,48,0
06:15 - 06:30,23,0
06:30 - 06:45,80,0
06:45 - 07:00,42,0
07:00 - 07:15,31,0
07:15 - 07:30,20,0
07:30 - 07:45,19,0
07:45 - 08:00,0,0
08:00 - 08:15,0,7
08:15 - 08:30,0,11
08:30 - 08:45,0,23
08:45 - 09:00,5,0
09:00 - 09:15,78,0
09:15 - 09:30,20,0
09:30 - 09:45,43,0
09:45 - 10:00,0,14
10:00 - 10:15,130,0
10:15 - 10:30,58,0
10:30 - 10:45,77,0
10:45 - 11:00,60,0
11:00 - 11:15,170,0
11:15 - 11:30,93,0
11:30 - 11:45,103,0
11:45 - 12:00,98,0
12:00 - 12:15,111,0
12:15 - 12:30,115,0
12:30 - 12:45,93,0
12:45 - 13:00,76,0
13:00 - 13:15,33,0
13:15 - 13:30,96,0
13:30 - 13:45,102,0
13:45 - 14:00,94,0
14:00 - 14:15,73,0
14:15 - 14:30,65,0
14:30 - 14:45,96,0
14:45 - 15:00,79,0
15:00 - 15:15,100,0
15:15 - 15:30,129,0
15:30 - 15:45,127,0
15:45 - 16:00,127,0
16:00 - 16:15,126,0
16:15 - 16:30,146,0
16:30 - 16:45,224,0
16:45 - 17:00,158,0
17:00 - 17:15,132,0
17:15 - 17:30,104,0
17:30 - 17:45,179,0
17:45 - 18:00,195,0
18:00 - 18:15,126,0
18:15 - 18:30,82,0
18:30 - 18:45,112,0
18:45 - 19:00,99,0
19:00 - 19:15,0,45
19:15 - 19:30,0,6
19:30 - 19:45,25,0
19:45 - 20:00,0,0
20:00 - 20:15,29,0
20:15 - 20:30,0,5
20:30 - 20:45,10,0
20:45 - 21:00,23,0
21:00 - 21:15,34,0
21:15 - 21:30,0,0
21:30 - 21:45,0,22
21:45 - 22:00,0,10
22:00 - 22:15,143,0
22:15 - 22:30,143,0
22:30 - 22:45,125,0
22:45 - 23:00,136,0
23:00 - 23:15,127,0
23:15 - 23:30,186,0
23:30 - 23:45,155,0
23:45 - 00:00,133,0
