Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,295
01:00 - 02:00,0,287
02:00 - 03:00,0,281
03:00 - 04:00,0,257
04:00 - 05:00,0,250
05:00 - 06:00,0,245
06:00 - 07:00,0,241
07:00 - 08:00,0,156
08:00 - 09:00,0,39
09:00 - 10:00,0,140
10:00 - 11:00,0,310
11:00 - 12:00,0,401
12:00 - 13:00,0,392
13:00 - 14:00,0,425
14:00 - 15:00,0,411
15:00 - 16:00,0,474
16:00 - 17:00,0,499
17:00 - 18:00,0,321
18:00 - 19:00,0,235
19:00 - 20:00,0,199
20:00 - 21:00,0,235
21:00 - 22:00,0,213
22:00 - 23:00,0,255
23:00 - 00:00,0,225
