Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,0,135
01:00 - 02:00,0,114
02:00 - 03:00,0,45
03:00 - 04:00,3,0
04:00 - 05:00,13,0
05:00 - 06:00,17,0
06:00 - 07:00,5,0
07:00 - 08:00,54,0
08:00 - 09:00,0,20
09:00 - 10:00,0,48
10:00 - 11:00,0,225
11:00 - 12:00,0,294
12:00 - 13:00,0,273
13:00 - 14:00,0,190
14:00 - 15:00,26,0
15:00 - 16:00,89,0
16:00 - 17:00,135,0
17:00 - 18:00,263,0
18:00 - 19:00,271,0
19:00 - 20:00,283,0
20:00 - 21:00,308,0
21:00 - 22:00,292,0
22:00 - 23:00,127,0
23:00 - 00:00,0,58
