Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,20
01:00 - 02:00,0,57
02:00 - 03:00,0,95
03:00 - 04:00,0,145
04:00 - 05:00,0,150
05:00 - 06:00,0,156
06:00 - 07:00,0,145
07:00 - 08:00,0,125
08:00 - 09:00,0,72
09:00 - 10:00,0,66
10:00 - 11:00,10,0
11:00 - 12:00,23,0
12:00 - 13:00,5,0
13:00 - 14:00,0,13
14:00 - 15:00,0,106
15:00 - 16:00,0,147
16:00 - 17:00,0,166
17:00 - 18:00,0,248
18:00 - 19:00,0,207
19:00 - 20:00,0,138
20:00 - 21:00,0,118
21:00 - 22:00,0,79
22:00 - 23:00,0,39
23:00 - 00:00,0,41
