Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,176
01:00 - 02:00,0,149
02:00 - 03:00,0,100
03:00 - 04:00,0,80
04:00 - 05:00,0,69
05:00 - 06:00,0,67
06:00 - 07:00,0,94
07:00 - 08:00,30,0
08:00 - 09:00,119,0
09:00 - 10:00,187,0
10:00 - 11:00,220,0
11:00 - 12:00,268,0
12:00 - 13:00,264,0
13:00 - 14:00,324,0
14:00 - 15:00,475,0
15:00 - 16:00,502,0
16:00 - 17:00,478,0
17:00 - 18:00,485,0
18:00 - 19:00,297,0
19:00 - 20:00,289,0
20:00 - 21:00,181,0
21:00 - 22:00,132,0
22:00 - 23:00,0,25
23:00 - 00:00,0,219
