Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,96
01:00 - 02:00,0,208
02:00 - 03:00,0,242
03:00 - 04:00,0,224
04:00 - 05:00,0,204
05:00 - 06:00,0,225
06:00 - 07:00,0,374
07:00 - 08:00,0,307
08:00 - 09:00,0,239
09:00 - 10:00,0,220
10:00 - 11:00,0,252
11:00 - 12:00,0,242
12:00 - 13:00,0,234
13:00 - 14:00,0,408
14:00 - 15:00,0,430
15:00 - 16:00,0,414
16:00 - 17:00,0,409
17:00 - 18:00,0,467
18:00 - 19:00,0,403
19:00 - 20:00,0,524
20:00 - 21:00,0,427
21:00 - 22:00,0,386
22:00 - 23:00,0,371
23:00 - 00:00,0,364
