Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,200,0
01:00 - 02:00,224,0
02:00 - 03:00,200,0
03:00 - 04:00,341,0
04:00 - 05:00,353,0
05:00 - 06:00,319,0
06:00 - 07:00,387,0
07:00 - 08:00,373,0
08:00 - 09:00,240,0
09:00 - 10:00,139,0
10:00 - 11:00,139,0
11:00 - 12:00,255,0
12:00 - 13:00,279,0
13:00 - 14:00,389,0
14:00 - 15:00,498,0
15:00 - 16:00,535,0
16:00 - 17:00,570,0
17:00 - 18:00,643,0
18:00 - 19:00,643,0
19:00 - 20:00,641,0
20:00 - 21:00,518,0
21:00 - 22:00,462,0
22:00 - 23:00,435,0
23:00 - 00:00,479,0
