Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,287
01:00 - 02:00,0,320
02:00 - 03:00,0,313
03:00 - 04:00,0,277
04:00 - 05:00,0,229
05:00 - 06:00,0,190
06:00 - 07:00,0,192
07:00 - 08:00,0,203
08:00 - 09:00,0,190
09:00 - 10:00,0,175
10:00 - 11:00,0,469
11:00 - 12:00,0,529
12:00 - 13:00,0,545
13:00 - 14:00,0,543
14:00 - 15:00,0,539
15:00 - 16:00,0,582
16:00 - 17:00,0,612
17:00 - 18:00,0,580
18:00 - 19:00,0,527
19:00 - 20:00,0,405
20:00 - 21:00,0,288
21:00 - 22:00,0,355
22:00 - 23:00,0,371
23:00 - 00:00,0,367
