Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,112,0
01:00 - 02:00,43,0
02:00 - 03:00,0,12
03:00 - 04:00,17,0
04:00 - 05:00,0,8
05:00 - 06:00,0,20
06:00 - 07:00,0,18
07:00 - 08:00,0,46
08:00 - 09:00,0,31
09:00 - 10:00,4,0
10:00 - 11:00,205,0
11:00 - 12:00,218,0
12:00 - 13:00,166,0
13:00 - 14:00,208,0
14:00 - 15:00,339,0
15:00 - 16:00,292,0
16:00 - 17:00,340,0
17:00 - 18:00,483,0
18:00 - 19:00,505,0
19:00 - 20:00,325,0
20:00 - 21:00,198,0
21:00 - 22:00,169,0
22:00 - 23:00,168,0
23:00 - 00:00,185,0
